painting,paintingLabel,creator,width,height,inception
http://www.wikidata.org/entity/Q3937425,Portrait of the court jester Gonella,http://www.wikidata.org/entity/Q311398,0.24,0.36,1447-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937429,Pietro Secco Suardo,http://www.wikidata.org/entity/Q504949,1.04,1.83,1563-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937474,Portrait of Bianca Cappello,http://www.wikidata.org/entity/Q4233718,0.52,0.75,1560-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937415,Portrait of a Man with a Book,http://www.wikidata.org/entity/Q9348,0.52,0.7,1524-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937501,Portrait of Cornelis van der Geest,http://www.wikidata.org/entity/Q150679,0.325,0.375,1619-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937414,Portrait of a Man with a Book,http://www.wikidata.org/entity/Q8457,0.43,0.6,1522-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937411,Portrait of a Man,http://www.wikidata.org/entity/Q8459,0.26,0.3,1508-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937463,Portrait of Andrea Odoni,http://www.wikidata.org/entity/Q310973,1.168,1.043,1527-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937473,Portrait of Bartolomeo Panciatichi,http://www.wikidata.org/entity/Q7803,0.85,1.04,1540-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937458,Portrait of Alvise Cornaro,http://www.wikidata.org/entity/Q9319,0.85,1.13,1560-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937420,Portrait of Three Children of Charles 1,http://www.wikidata.org/entity/Q150679,1.568,1.537,1635-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937464,Portrait of Baldassare Castiglione,http://www.wikidata.org/entity/Q47551,0.97,1.24,1529-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937480,Portrait of Camilla Gonzaga and Her Three Sons,http://www.wikidata.org/entity/Q9348,0.97,1.28,1539-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937500,Portrait of Cornelis Claeszoon Anslo and his wife Aaltje Schouten,http://www.wikidata.org/entity/Q5598,2.076,1.737,1641-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937431,Portrait of Cardinal Ludovico Trevisan,http://www.wikidata.org/entity/Q5681,0.348,0.455,1459-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937436,The Sultan Mehmet II,http://www.wikidata.org/entity/Q290407,0.52,0.7,1480-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937488,Portrait of the Princes Palatine,http://www.wikidata.org/entity/Q150679,1.52,1.32,1637-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937416,Giorgio Cornaro with a Falcon,http://www.wikidata.org/entity/Q47551,0.94,1.09,1525-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937468,Portrait of Barbara Holper,http://www.wikidata.org/entity/Q5580,0.358,0.47,1490-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937452,Portrait of Agostino Barbarigo,http://www.wikidata.org/entity/Q9440,1.042,1.022,1571-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937419,Five Eldest Children of Charles I,http://www.wikidata.org/entity/Q150679,1.988,1.632,1637-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937413,portrait of man with a Helmet,http://www.wikidata.org/entity/Q312617,0.72,0.86,1520-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937450,Portrait of Agatha Bas,http://www.wikidata.org/entity/Q5598,0.839,1.054,1641-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937439,Portrait of a Man,http://www.wikidata.org/entity/Q47551,0.455,0.595,1515-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937426,Portrait of the Count-Duke of Olivares,http://www.wikidata.org/entity/Q297,0.545,0.67,1638-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937517,Portrait of Febo de Brescia,http://www.wikidata.org/entity/Q310973,0.75,0.9,1543-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937503,Portrait of a Young Woman,http://www.wikidata.org/entity/Q9348,0.465,0.5,1530-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937525,Portrait of Felicitas Tucher,http://www.wikidata.org/entity/Q5580,0.24,0.28,1499-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937563,Portrait of Hans Tucher,http://www.wikidata.org/entity/Q5580,0.24,0.28,1499-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937527,Portrait of Federico II Gonzaga,http://www.wikidata.org/entity/Q47551,0.99,1.25,1529-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937515,"Emmanuel Philibert of Savoy, Prince of Oneglia",http://www.wikidata.org/entity/Q150679,0.995,1.26,1624-01-01T00:00:00Z
